cliente_id,cluster,segmento_kmeans
1,0,economico
2,1,abandono
3,0,economico
4,3,esquecido
5,2,fiel
6,0,economico
7,0,economico
8,0,economico
9,2,fiel
10,1,abandono
11,0,economico
12,0,economico
13,3,esquecido
14,0,economico
15,1,abandono
16,2,fiel
17,3,esquecido
18,2,fiel
19,0,economico
20,3,esquecido
21,0,economico
22,1,abandono
23,0,economico
24,0,economico
25,0,economico
26,2,fiel
27,3,esquecido
28,2,fiel
29,2,fiel
30,3,esquecido
31,0,economico
32,0,economico
33,1,abandono
34,1,abandono
35,1,abandono
36,2,fiel
37,2,fiel
38,1,abandono
39,2,fiel
40,3,esquecido
41,1,abandono
42,0,economico
43,3,esquecido
44,1,abandono
45,0,economico
46,0,economico
47,1,abandono
48,2,fiel
49,3,esquecido
50,2,fiel
51,2,fiel
52,1,abandono
53,0,economico
54,3,esquecido
55,3,esquecido
56,0,economico
57,1,abandono
58,3,esquecido
59,2,fiel
60,2,fiel
61,3,esquecido
62,1,abandono
63,3,esquecido
64,0,economico
65,3,esquecido
66,3,esquecido
67,3,esquecido
68,1,abandono
69,2,fiel
70,1,abandono
71,2,fiel
72,1,abandono
73,0,economico
74,2,fiel
75,2,fiel
76,2,fiel
77,2,fiel
78,3,esquecido
79,3,esquecido
80,0,economico
81,3,esquecido
82,3,esquecido
83,0,economico
84,2,fiel
85,2,fiel
86,2,fiel
87,3,esquecido
88,1,abandono
89,2,fiel
90,3,esquecido
91,2,fiel
92,3,esquecido
93,1,abandono
94,1,abandono
95,1,abandono
96,3,esquecido
97,1,abandono
98,2,fiel
99,2,fiel
100,0,economico
101,0,economico
102,3,esquecido
103,2,fiel
104,0,economico
105,0,economico
106,3,esquecido
107,1,abandono
108,2,fiel
109,2,fiel
110,0,economico
111,1,abandono
112,2,fiel
113,1,abandono
114,3,esquecido
115,2,fiel
116,0,economico
117,0,economico
118,3,esquecido
119,1,abandono
120,1,abandono
121,3,esquecido
122,3,esquecido
123,2,fiel
124,1,abandono
125,2,fiel
126,1,abandono
127,1,abandono
128,2,fiel
129,2,fiel
130,3,esquecido
131,2,fiel
132,0,economico
133,3,esquecido
134,1,abandono
135,1,abandono
136,2,fiel
137,0,economico
138,1,abandono
139,0,economico
140,2,fiel
141,1,abandono
142,1,abandono
143,0,economico
144,1,abandono
145,1,abandono
146,2,fiel
147,3,esquecido
148,1,abandono
149,1,abandono
150,2,fiel
151,0,economico
152,0,economico
153,2,fiel
154,3,esquecido
155,2,fiel
156,3,esquecido
157,2,fiel
158,3,esquecido
159,3,esquecido
160,0,economico
161,2,fiel
162,1,abandono
163,2,fiel
164,2,fiel
165,3,esquecido
166,1,abandono
167,0,economico
168,0,economico
169,1,abandono
170,0,economico
171,2,fiel
172,3,esquecido
173,2,fiel
174,1,abandono
175,2,fiel
176,2,fiel
177,1,abandono
178,0,economico
179,3,esquecido
180,1,abandono
181,0,economico
182,0,economico
183,1,abandono
184,3,esquecido
185,0,economico
186,3,esquecido
187,1,abandono
188,2,fiel
189,0,economico
190,2,fiel
191,0,economico
192,2,fiel
193,2,fiel
194,0,economico
195,2,fiel
196,2,fiel
197,3,esquecido
198,1,abandono
199,2,fiel
200,1,abandono
201,0,economico
202,0,economico
203,1,abandono
204,2,fiel
205,2,fiel
206,2,fiel
207,2,fiel
208,3,esquecido
209,2,fiel
210,0,economico
211,3,esquecido
212,3,esquecido
213,2,fiel
214,0,economico
215,0,economico
216,3,esquecido
217,2,fiel
218,2,fiel
219,0,economico
220,1,abandono
221,1,abandono
222,3,esquecido
223,3,esquecido
224,0,economico
225,2,fiel
226,0,economico
227,2,fiel
228,3,esquecido
229,3,esquecido
230,2,fiel
231,2,fiel
232,1,abandono
233,0,economico
234,3,esquecido
235,0,economico
236,0,economico
237,1,abandono
238,0,economico
239,2,fiel
240,2,fiel
241,0,economico
242,0,economico
243,2,fiel
244,0,economico
245,3,esquecido
246,0,economico
247,3,esquecido
248,1,abandono
249,1,abandono
250,1,abandono
251,3,esquecido
252,0,economico
253,1,abandono
254,2,fiel
255,2,fiel
256,0,economico
257,0,economico
258,2,fiel
259,2,fiel
260,3,esquecido
261,2,fiel
262,0,economico
263,1,abandono
264,2,fiel
265,0,economico
266,2,fiel
267,2,fiel
268,2,fiel
269,2,fiel
270,2,fiel
271,2,fiel
272,2,fiel
273,2,fiel
274,3,esquecido
275,3,esquecido
276,1,abandono
277,1,abandono
278,1,abandono
279,0,economico
280,0,economico
281,2,fiel
282,2,fiel
283,2,fiel
284,2,fiel
285,3,esquecido
286,1,abandono
287,2,fiel
288,1,abandono
289,1,abandono
290,2,fiel
291,0,economico
292,2,fiel
293,3,esquecido
294,2,fiel
295,0,economico
296,0,economico
297,0,economico
298,0,economico
299,0,economico
300,3,esquecido
301,0,economico
302,2,fiel
303,1,abandono
304,1,abandono
305,3,esquecido
306,1,abandono
307,1,abandono
308,3,esquecido
309,2,fiel
310,2,fiel
311,1,abandono
312,1,abandono
313,2,fiel
314,1,abandono
315,1,abandono
316,3,esquecido
317,1,abandono
318,3,esquecido
319,2,fiel
320,0,economico
321,0,economico
322,1,abandono
323,1,abandono
324,3,esquecido
325,0,economico
326,3,esquecido
327,0,economico
328,1,abandono
329,1,abandono
330,2,fiel
331,3,esquecido
332,2,fiel
333,3,esquecido
334,0,economico
335,2,fiel
336,3,esquecido
337,2,fiel
338,3,esquecido
339,2,fiel
340,0,economico
341,2,fiel
342,0,economico
343,1,abandono
344,3,esquecido
345,1,abandono
346,0,economico
347,0,economico
348,2,fiel
349,3,esquecido
350,2,fiel
351,1,abandono
352,2,fiel
353,3,esquecido
354,3,esquecido
355,1,abandono
356,1,abandono
357,0,economico
358,0,economico
